AREA,MRU,STATUS,,
AZAD NAGAR,7,UNCHARGED,,
AWAS VIKASH,5,CHARGED,,
GWAL MANDI,2,UNCHARGED,,
SADAR BAZAR,7,UNCHARGED,,
SHIVPURI,6,CHARGED,,
PANCHAMPURVA ,2,CHARGED,,
ADARSH NAGAR ,1,CHARGED,,
BUTTSGANJ,3,UNCHARGED,,
TAREENPUR,3,UNCHARGED,,
HOLI NAGAR,4,UNCHARGED,,
ANAND NAGAR ,1,CHARGED,,
NAIPALAPUR,1,CHARGED,,
ALAM NAGAR,3,UNCHARGED,,
RASOOLGANJ,7,UNCHARGED,,
GUDIYANA ,3,UNCHARGED,,
NAI BASTI,3,UNCHARGED,,
BHAGWAN PUR ,1,CHARGED,,
DURGAPURWA,3,UNCHARGED,,
RAMPURVA ,1,CHARGED,,
SHEESH MAHAL COLONY,1,CHARGED,,
SANJAY NAGAR,1,CHARGED,,
GHANTAGHAR ,3,UNCHARGED,,
MUNSIGNAJ,4,UNCHARGED,,
SUDAMAPURI,6,CHARGED,,
PREM NAGAR,5,CHARGED,,
BAIJNATH COLONY ,5,CHARGED,,
GURU NANAK COLONY ,2,CHARGED,,
LOHAR BAGH,5,UNCHARGED,,
GHURAMAU BANGLA,5,UNCHARGED,,
HUSSAIN GANJ ,7,CHARGED,,
THEEKRAPURWA,3,UNCHARGED,,
CIVIL LINE,5,CHARGED,,
ROTI GODAM,6,CHARGED,,
TEDVA CHILAULA ,1,CHARGED,,
CHITRA COLONY,5,CHARGED,,
VIJAY LAXMI NAGAR,5,UNCHARGED,,
MACHHLI MANDI ,3,UNCHARGED,,
KHOOBPUR,9,CHARGED,,
ARYA NAGAR,5,UNCHARGED,,
KATELI BAGH,5,UNCHARGED,,
RAMKRISHAN PURI ,2,CHARGED,,
BEGUM BAGH,4,UNCHARGED,,
AGHA COLONY,5,CHARGED,,
NAIMISH PURAM ,1,CHARGED,,
AMBEDKAR NAGAR,4,UNCHARGED,,
VIKASH NAGAR,9,CHARGED,,
PAKKA BAGH ,3,UNCHARGED,,
HEMPURWA ,4,UNCHARGED,,
LAL KURTI,6,CHARGED,,
BRAHMPURI,6,CHARGED,,
SUBHASH NAGAR ,2,CHARGED,,
PRAKASH CITY ,1,CHARGED,,
RANI KOTI ,3,UNCHARGED,,
BIJAURA,8,UNCHARGED,,
LAXMANPUR,8,UNCHARGED,,
MADIYA RAHIMPUR,8,UNCHARGED,,
KANWA KHERA,6,CHARGED,,
KESHAV GREEN CITY,8,UNCHARGED,,
SHUBH CITY,8,UNCHARGED,,
JANGAL KOTHI,7,CHARGED,,
SHAKTI NAGAR ,1,CHARGED,,
