Meter No.,Date
RR2401243627,20/12/25
RR2401244005,20/12/25
RR2401042341,21/12/25
RR2401040844,21/12/25
RR2401028836,22/12/25
RR2401042253,22/12/25
RR2401031087,22/12/25
RR2401031855,22/12/25
RR2401039923,23/12/25
RR2401041486,23/12/25
RR2401041015,24/12/25
RR2401038630,24/12/25
RR2401038633,24/12/25
RR2401253830,24/12/25
RR2401041138,24/12/25
RR2401243106,25/12/25
RR2401028805,25/12/25
RR2401038632,26/12/25
RR2401041701,26/12/25
RR2401243536,26/12/25
RR2401028824,26/12/25
RR2401028133,26/12/25
RR2401028534,26/12/25
RR2401029431,26/12/25
RR2401031854,28/12/25
RR2401029542,28/12/25
RR2401243785,29/12/25
RR2401042353,29/12/25
RR2401029432,29/12/25
RR2401041384,31/12/25
RR2401040533,02/01/26
RR2401038631,02/01/26
RR2401029193,02/01/26
RR2401040532,04/01/26
RR2401029433,04/01/26
RR2401258909,04/01/26
RR2401028537,05/01/26
RR2401030125,08/01/26
RR2401103832,08/01/26
RR2401104784,08/01/26
RR2401104507,08/01/26
RR2401104305,08/01/26
RR2401041382,09/01/26
RR2401103834,11/01/26
RR2401103458,11/01/26
RR2401106077,23/01/26
RR2401106126,24/01/26
RR2401041698,24/01/26
RR2401028822,24/01/26
RR2401029174,24/01/26
RR2401105538,25/01/26
RR2401041488,25/01/26
RR2401105877,25/01/26
RR2401040843,25/01/26
RR2401105615,26/01/26
RR2401106076,26/01/26
RR2401037643,29/01/26
RR2401025483,29/01/26
RR2401033328,29/01/26
RR2401246662,30/01/26
RR2401103895,30/01/26
RR2401243535,31/01/26
RR2401041438,31/01/26
RR2401026830,31/01/26
RR2401027864,31/01/26
RR2401103226,01/02/26
RR2401103227,01/02/26
RR2401103036,01/02/26
RR2401103037,01/02/26
RR2401034593,02/02/26
RR2401033450,03/02/26
RR2401024920,03/02/26
RR2401104211,04/02/26
RR2401103225,04/02/26
RR2401027630,04/02/26
RR2401101961,04/02/26
RR2401244881,05/02/26
RR2401101962,05/02/26
RR2401254687,05/02/26
RR2401041573,06/02/26
RR2401103880,06/02/26
RR2401041807,07/02/26
RR2401024790,07/02/26
RR2401038644,08/02/26
RR2401104467,08/02/26
RR2401031253,08/02/26
RR2401105444,09/02/26
RR2401025482,10/02/26
RR2401038484,10/02/26
RR2401031251,10/02/26
RR2401031250,10/02/26
RR2401101990,11/02/26
RR2401031220,12/02/26
RR2401034650,13/02/26
RR2401035602,13/02/26
RR2401026469,13/02/26
RR2401035664,13/02/26
RR2401034991,13/02/26
RR2401107487,13/02/26
