METER NO.,NOTICE SENT
RR2401035553,Yes
RR2401033881,Yes
RR2401035012,Yes
RR2401036767,Yes
RR2401033854,Yes
RR2401036822,Yes
RR2401032018,Yes
RR2401036177,Yes
RR2401032021,Yes
RR2401032019,Yes
RR2401036417,Yes
RR2401104422,Yes
RR2401104423,Yes
RR2401101861,Yes
RR2401105055,Yes
RR2401105054,Yes
RR2401105052,Yes
RR2401030912,Yes
RR2401030913,Yes
RR2401030824,Yes
RR2401030822,Yes
RR2401042086,Yes
RR2401106024,Yes
RR2401106026,Yes
RR2401040276,Yes
RR2401039485,Yes
RR2401040994,Yes
RR2501078452,Yes
RR2401107373,Yes
RR2401030040,Yes
RR2401250052,Yes
RR2401028352,Yes
RR2401031026,Yes
RR2501012833,Yes
RR2501012835,Yes
RR2501011551,Yes
RR2501011549,Yes
RR2501011397,Yes
RR2501011398,Yes
RR2401031491,Yes
RR2401031492,Yes
RR2401031593,Yes
RR2401031632,Yes
RR2401031625,Yes
RR2401031624,Yes
RR2401033318,Yes
RR2401034490,Yes
RR2401102094,Yes
RR2401106756,Yes
RR2401105943,Yes
RR2401108096,Yes
RR2401102092,Yes
RR2401102095,Yes
RR2401104103,Yes
RR2401031830,Yes
RR2401107102,Yes
RR2401108099,Yes
RR2401031848,Yes
RR2401031831,Yes
RR2401032911,Yes
RR2401106706,Yes
RR2401106705,Yes
RR2401106704,Yes
RR2401104101,Yes
RR2401107935,Yes
RR2401102211,Yes
RR2401102208,Yes
RR2401107180,Yes
RR2401107171,Yes
RR2401107183,Yes
RR2401102210,Yes
RR2401107170,Yes
RR2401027556,Yes
RR2401027555,Yes
RR2401024618,Yes
RR2401026850,Yes
RR2401024619,Yes
RR2401026859,Yes
RR2401025064,Yes
RR2401024680,Yes
RR2401026081,Yes
RR2401026649,Yes
RR2401026524,Yes
RR2401025995,Yes
RR2401026746,Yes
RR2401026747,Yes
RR2401026350,Yes
RR2401024609,Yes
RR2401025318,Yes
RR2401025186,Yes
RR2401024738,Yes
RR2401026772,Yes
RR2401026771,Yes
RR2401026699,Yes
RR2401025176,Yes
RR2401024740,Yes
RR2401026412,Yes
RR2401024602,Yes
RR2401025778,Yes
RR2401026474,Yes
RR2401037606,Yes
RR2401037607,Yes
RR2401026477,Yes
RR2401026668,Yes
RR2401025300,Yes
RR2401025974,Yes
RR2401025299,Yes
RR2401025182,Yes
RR2401034208,Yes
RR2401035786,Yes
RR2401036891,Yes
RR2401036918,Yes
RR2401036921,Yes
RR2401037015,Yes
RR2401037016,Yes
RR2401037014,Yes
RR2401037017,Yes
RR2401027078,Yes
RR2401034215,Yes
RR2401033658,Yes
RR2401035776,Yes
RR2401031673,Yes
RR2401034514,Yes
RR2401034515,Yes
RR2401034516,Yes
RR2401034517,Yes
RR2401033661,Yes
RR2401031672,Yes
RR2401035818,Yes
RR2401035723,Yes
RR2401037940,Yes
RR2401037938,Yes
RR2401031671,Yes
RR2401034236,Yes
RR2401037468,Yes
RR2401037467,Yes
RR2401037496,Yes
RR2401037470,Yes
RR2401037471,Yes
RR2401036850,Yes
RR2401038105,Yes
RR2401037941,Yes
RR2401037939,Yes
RR2401037630,Yes
RR2401034216,Yes
RR2401036965,Yes
RR2401036865,Yes
RR2401037732,Yes
RR2401037040,Yes
RR2401032308,Yes
RR2401037038,Yes
RR2401033648,Yes
RR2401027079,Yes
RR2401037997,Yes
RR2401038014,Yes
RR2401038012,Yes
RR2401038066,Yes
RR2401038068,Yes
RR2401038092,Yes
RR2401107070,Yes
RR2401036927,Yes
RR2401103375,Yes
RR2401102835,Yes
RR2401102759,Yes
RR2401108634,Yes
RR2401108037,Yes
RR2401108008,Yes
RR2401108038,Yes
RR2401106322,Yes
RR2401104489,Yes
RR2401102298,Yes
RR2401102296,Yes
RR2401102801,Yes
RR2401102811,Yes
RR2401102758,Yes
RR2401104538,Yes
RR2401108230,Yes
RR2401102048,Yes
RR2401103723,Yes
RR2401104776,Yes
RR2401102045,Yes
RR2401103068,Yes
RR2401103069,Yes
RR2401104810,Yes
RR2401104809,Yes
RR2401108659,Yes
RR2401031826,Yes
RR2401108189,Yes
RR2401108188,Yes
RR2401104183,Yes
RR2401030532,Yes
RR2401038597,Yes
RR2401038594,Yes
RR2401041008,Yes
RR2401041006,Yes
RR2401108191,Yes
RR2401108236,Yes
RR2401108243,Yes
RR2401105933,Yes
RR2401107116,Yes
RR2401107119,Yes
RR2401106751,Yes
RR2401105516,Yes
RR2401108346,Yes
RR2401107093,Yes
RR2401252434,Yes
RR2401108227,Yes
RR2401108353,Yes
RR2401107795,Yes
RR2401107793,Yes
RR2401250060,Yes
RR2401101922,Yes
RR2401102907,Yes
RR2401102686,Yes
RR2401101921,Yes
RR2401107498,Yes
RR2401106373,Yes
RR2401108522,Yes
RR2401041570,Yes
RR2401038418,Yes
RR2401028535,Yes
RR2401041808,Yes
RR2401030040,Yes
RR2401252042,Yes
RR2401034269,Yes
RR2401040179,Yes
RR2401040181,Yes
RR2401029540,Yes
RR2401028536,Yes
RR2401040180,Yes
RR2401041016,Yes
RR2401028059,Yes
RR2401028060,Yes
RR2401041700,Yes
RR2401041140,Yes
RR2401029192,Yes
RR2401243771,Yes
RR2401243770,Yes
RR2401028837,Yes
RR2401258911,Yes
RR2401246663,Yes
RR2401260188,Yes
RR2401260186,Yes
RR2401257836,Yes
RR2401041383,Yes
RR2401243787,Yes
RR2401243533,Yes
RR2401243626,Yes
RR2401243786,Yes
RR2401246594,Yes
RR2401244037,Yes
RR2401253831,Yes
RR2401243642,Yes
RR2401028823,Yes
RR2401253829,Yes
RR2401243643,Yes
RR2401243628,Yes
RR2401255423,Yes
RR2401255738,Yes
RR2401254095,Yes
RR2401255380,Yes
RR2401254094,Yes
RR2401254035,Yes
RR2401244039,Yes
RR2401255377,Yes
RR2401243107,Yes
RR2501092970,Yes
RR2501077033,Yes
RR2501087284,Yes
RR2501087283,Yes
RR2501088485,Yes
RR2501089198,Yes
RR2501089199,Yes
RR2501088483,Yes
RR2501088463,Yes
RR2501089201,Yes
RR2501077365,Yes
RR2501090462,Yes
RR2501076987,Yes
RR2501076988,Yes
RR2401042031,Yes
RR2501092886,Yes
RR2501088468,Yes
RR2501088466,Yes
RR2401252017,Yes
RR2401042146,Yes
RR2401029399,Yes
RR2401042033,Yes
RR2401042032,Yes
RR2401042213,Yes
RR2401039234,Yes
RR2401031818,Yes
RR2401252030,Yes
RR2401041859,Yes
RR2401031073,Yes
RR2501087600,Yes
RR2401031849,Yes
RR2401252018,Yes
RR2401031846,Yes
RR2401031847,Yes
RR2501076571,Yes
RR2501092900,Yes
RR2401039237,Yes
RR2501077031,Yes
RR2501077443,Yes
RR2401252014,Yes
RR2501077541,Yes
RR2501077538,Yes
RR2401031734,Yes
RR2401252075,Yes
RR2501077444,Yes
RR2501087581,Yes
RR2501085690,Yes
RR2501076046,Yes
RR2501088972,Yes
RR2501077707,Yes
RR2501076083,Yes
RR2501100230,Yes
RR2501100231,Yes
RR2501092429,Yes
RR2501078653,Yes
RR2501078651,Yes
RR2501078650,Yes
RR2501076601,Yes
RR2501076598,Yes
RR2501087579,Yes
RR2501076600,Yes
RR2501076599,Yes
RR2501077706,Yes
RR2301073583,Yes
RR2301073358,Yes
RR2401252011,Yes
RR2401252012,Yes
RR2301164843,Yes
RR2501078674,Yes
RR2501077540,Yes
RR2501077539,Yes
RR2501078676,Yes
RR2301075725,Yes
RR2501077445,Yes
RR2301073581,Yes
RR2501087578,Yes
RR2301167852,Yes
RR2301076609,Yes
RR2501087381,Yes
RR2501100233,Yes
RR2301171643,Yes
RR2301070504,Yes
RR2401031757,Yes
RR2401033846,Yes
RR2401032806,Yes
RR2401103395,Yes
RR2401107816,Yes
RR2401103683,Yes
RR2401106609,Yes
RR2401106608,Yes
RR2401103431,Yes
RR2401103682,Yes
RR2401103429,Yes
RR2401039324,Yes
RR2401032995,Yes
RR2401038804,Yes
RR2401033688,Yes
RR2401101913,Yes
RR2401101914,Yes
RR2401108258,Yes
RR2401103105,Yes
RR2401101912,Yes
RR2401105811,Yes
RR2401101964,Yes
RR2401108107,Yes
RR2401108361,Yes
RR2401108395,Yes
RR2401108057,Yes
RR2401103030,Yes
RR2401103647,Yes
RR2401106100,Yes
RR2401108362,Yes
RR2401107940,Yes
RR2401105810,Yes
RR2401105808,Yes
RR2401102275,Yes
RR2401105832,Yes
RR2401107983,Yes
RR2401108568,Yes
RR2401108569,Yes
RR2401256303,Yes
RR2401255195,Yes
RR2401256844,Yes
RR2401041801,Yes
RR2401041179,Yes
RR2401041181,Yes
RR2401026663,Yes
